PC4,City,hh_size,cars_per_hh,perc_public_parking,perc_paid_public_parking,perc_pop_25to45yr,perc_high_inc_hh,address_density,has_pt_1km
1011,Amsterdam,1.5,0.274453364263616,0.37767661439892,1,0.249375312343828,19.3,7176,1
1012,Amsterdam,1.4,0.128957002148059,0.456890374970145,1,0.185957213384531,13.7,8654,1
1013,Amsterdam,1.6,0.348966969011306,0.635697048449972,0.737595479239139,0.255157437567861,17.5,6691,1
1014,Amsterdam,1.9,0.586361846015633,0.579330647660365,0.93193367210484,0.183838383838383,49.5,3606,1
1015,Amsterdam,1.5,0.300504084047015,0.972966330793806,1,0.27139037433155,19.4,11169,1
1016,Amsterdam,1.5,1.22378496758497,0.621602288984263,1,0.236900044033465,22.1,11564,1
1017,Amsterdam,1.5,0.357647596554648,0.842871587462082,1,0.22730627306273,27.5,9641,1
1018,Amsterdam,1.6,0.319461272358509,0.805900621118012,1,0.233888177550149,19.7,7113,1
1019,Amsterdam,1.9,0.504978802899999,0.666047087980173,1,0.309183426217591,31.1,4439,1
1021,Amsterdam,1.8,0.471588208849382,0.68729765758903,1,0.259232954545454,8.7,3134,1
1022,Amsterdam,1.8,0.41186577819295,0.611327677138271,0.765009645892264,0.185077519379844,24.9,3097,1
1023,Amsterdam,2,0.7503642472126,0.84931506849315,0,0.293159609120521,17.7,2677,1
1024,Amsterdam,2.2,0.651693594036946,0.821376916401504,0.00281708399491459,0.233074753173483,12.3,2694,1
1025,Amsterdam,1.9,0.510520302915132,0.563834968343421,0.905725567620927,0.213895631067961,11.9,3336,1
1026,Amsterdam,2.5,1.1559434192423,0.863038548752834,0,0.357798165137614,46.3,110,0
1027,Amsterdam,2,0.953388175948569,0.912974225311323,0,0.342592592592592,30.4,203,0
1028,Amsterdam,2.4,1.47407501701299,0.958235823582358,0,0.338842975206611,41,42,0
1031,Amsterdam,1.8,0.418699649576371,0.771194513240617,1,0.23076923076923,18.5,3559,1
1032,Amsterdam,2,0.534750470702829,0.680321175830157,1,0.257587548638132,17.2,3209,1
1033,Amsterdam,1.7,0.56490277674901,0.779267831071216,0.272460573537561,0.214577656675749,11,2377,1
1034,Amsterdam,2.2,0.65141749632375,0.802605459057071,0.0547926744792798,0.239035821894877,13.2,2805,1
1035,Amsterdam,2.3,0.725526635018979,0.742846750727449,0,0.276643990929705,23.6,2020,1
1036,Amsterdam,2.9,0.788405148933743,0.816611295681063,0,0.226860254083484,38.9,2831,1
1037,Amsterdam,2.1,1.21811523955576,0.893617021276595,0,0.379310344827586,22,321,1
1041,Amsterdam,2.3,1.22378496758497,0.484983024288325,0,0.290457561432885,22,102,0
1042,Amsterdam,2.3,1.22378496758497,0.682458143074581,0,0.162069271003067,22,130,0
1043,Amsterdam,1.3,0.139302927515755,0.672059808078553,0.400932416319346,0.097457627118644,2.1,2403,1
1045,Amsterdam,2.3,1.22378496758497,0.679760665972944,0,0.290457561432885,22,48,1
1046,Amsterdam,1.1,0.250522694915681,0.712432811404533,0,0.208333333333333,22,322,1
1047,Amsterdam,2.6,0.560069139247552,0.613809398792334,0,0.299393414211438,22,94,1
1051,Amsterdam,1.6,0.309252412138495,0.538207272020221,1,0.272865275142315,17.6,9139,1
1052,Amsterdam,1.6,0.325405910385203,0.955072463768115,1,0.240501043841336,18,11721,1
1053,Amsterdam,1.6,0.290653374124857,0.891834890027116,1,0.222491664140648,16.6,11803,1
1054,Amsterdam,1.6,0.348173289270017,0.825053078556263,1,0.22514450867052,25.7,10046,1
1055,Amsterdam,1.7,0.335649033413553,0.801116838487972,1,0.204105991883504,14.6,7195,1
1056,Amsterdam,1.7,0.369658601275357,0.940163391477147,1,0.227979274611398,17.2,10146,1
1057,Amsterdam,1.7,0.377120600164411,0.822667868409193,1,0.217403873952009,15.8,10879,1
1058,Amsterdam,1.7,0.4276789317916,0.884969939879759,1,0.207235798159314,25.6,8402,1
1059,Amsterdam,1.6,0.327566670863483,0.883413990321161,1,0.201266713581984,23.5,6342,1
1060,Amsterdam,2.4,0.99400742403468,0.798808948977949,0,0.310327455919395,32.7,3214,1
1061,Amsterdam,2,0.427312883858808,0.732501023331968,0.999860296172115,0.179758752574286,17.5,5997,1
1062,Amsterdam,1.6,0.350911419745293,0.592475628175202,1,0.131215912736605,13.2,5837,1
1063,Amsterdam,2,0.511595301153038,0.929002744739249,0.10847562182823,0.241670012043356,10.4,3956,1
1064,Amsterdam,2,0.584554692616026,0.931335975751923,0.336106614781459,0.234839476813317,12.8,4000,1
1065,Amsterdam,1.9,0.485621245041467,0.817658072879158,0.999823949976359,0.206839719818706,11.1,4469,1
1066,Amsterdam,2.1,0.878392089889875,0.60227215093574,0.119112103303774,0.258688267572511,24.5,2959,1
1067,Amsterdam,2.3,0.765523191207058,0.829151732377538,0.623174831892411,0.224424865394028,13.7,2709,0
1068,Amsterdam,1.9,0.547993351604947,0.87360646599777,0.20188928143281,0.208731241473397,10.9,4075,1
1069,Amsterdam,2.1,0.648710121715256,0.872932910633193,0.0020855887009028,0.224676313785224,13.7,4132,1
1071,Amsterdam,1.8,0.515823355406563,0.806606699751861,0.999951932320707,0.254124116260801,38.6,7994,1
1072,Amsterdam,1.5,0.254235520735726,0.669930875576036,1,0.206796818510484,17.2,10253,1
1073,Amsterdam,1.6,0.278482961444536,0.945397815912636,1,0.223590892123926,15.4,11383,1
1074,Amsterdam,1.6,0.293036371198165,0.935564435564435,1,0.226268656716417,17.2,10991,1
1075,Amsterdam,1.8,0.460170336107623,0.859901396877567,0.998925895238498,0.251671442215854,30,7875,1
1076,Amsterdam,1.7,0.511581478942676,0.700490444782682,1,0.236611062335381,22.5,5153,1
1077,Amsterdam,2.1,0.774853134022407,0.83816748475383,1,0.269135802469135,48.2,5362,1
1078,Amsterdam,1.7,0.414066411329475,0.728463855421686,1,0.204151071793126,26.5,8705,1
1079,Amsterdam,1.6,0.419954802583623,0.902385321100917,1,0.201360544217687,19.7,6150,1
1081,Amsterdam,1.7,0.61815449655672,0.754610655737704,0.99988690449126,0.223275862068965,26.7,2853,1
1082,Amsterdam,1.7,0.429958997814457,0.550300601202404,1,0.186864738076622,24.9,4287,1
1083,Amsterdam,1.6,0.400348860925182,0.73167606355715,0.958906151324468,0.180881511161992,17.5,3321,1
1086,Amsterdam,2.2,0.695927095678715,0.894650205761316,1,0.28760162601626,39.4,1256,1
1087,Amsterdam,2.4,0.54416950520951,0.8525330023694,0.969830176781329,0.276140684410646,36.2,1931,1
1091,Amsterdam,1.6,0.303974529492568,0.817097415506958,1,0.214836795252225,18.3,8987,1
1092,Amsterdam,1.8,1.22378496758497,0.918699186991869,1,0.229556074766355,18.2,8331,1
1093,Amsterdam,1.7,0.301804306093705,0.57175,1,0.230997038499506,16.1,8911,1
1094,Amsterdam,1.7,0.314527248900579,0.96149843912591,1,0.224783861671469,14.7,8361,1
1095,Amsterdam,1.7,0.337886658828661,0.737635546151811,0.930010938780642,0.204218600191754,15.4,4611,1
1096,Amsterdam,1.5,0.265394288763031,0.61458184417441,0.798986403001276,0.133951137320977,27.9,3144,1
1097,Amsterdam,1.6,0.383654899238831,0.780998180400311,1,0.228230980751604,15.4,4940,1
1098,Amsterdam,1.8,0.466825474662669,0.759714512291831,1,0.224049000644745,31.3,4895,1
1101,Amsterdam,1.4,1.22378496758497,0.325323344405965,0.00966760808168585,0.0896226415094339,22,1865,1
1102,Amsterdam,1.7,1.22378496758497,0.591890700749228,0.464985653153396,0.227484472049689,6.9,3683,1
1103,Amsterdam,1.9,0.547098466298693,0.829260291946859,0,0.253058371198881,11.9,3599,1
1104,Amsterdam,1.9,0.512366294890177,0.840883280757097,0,0.254103535353535,9.6,3288,1
1105,Amsterdam,1.2,1.22378496758497,0.40067639729441,0,0.0320284697508896,2,2444,1
1106,Amsterdam,2,0.581158173594533,0.75144649987776,0.00040668040342696,0.256632225635297,10.6,2698,1
1107,Amsterdam,1.9,0.598553961654188,0.865178686621081,0,0.254105445116681,9.1,2354,1
1108,Amsterdam,1.7,1.22378496758497,0.787197965239508,0,0.238019169329073,9.5,2062,1
1109,Amsterdam,2.4,0.942434802975604,0.851659336265493,0,0.283582089552238,27.4,452,1
1111,Diemen,2,0.703878897322259,0.760308441558441,0.76788192591011,0.236530880420499,22.8,2519,1
1112,Diemen,1.9,0.518036249328236,0.623735943693875,0.605883775760196,0.183216783216783,22.4,3486,1
1113,Diemen,2.1,0.852404070299591,0.863284002818886,0.915993967278211,0.284057971014492,26.9,1249,1
1114,Ouder-Amstel,1.5,1.22378496758497,0.485850523478801,0.561631246206428,0.283333333333333,22,1231,1
1115,Ouder-Amstel,1.9,0.667438413535258,0.812854442344045,0.00103318303544516,0.230550284629981,22,2025,1
1117,Haarlemmermeer,1,1.22378496758497,0.6909709563738,0,0.173191422833931,22,82,1
1118,Haarlemmermeer,1.3,1.22378496758497,0.625708864650576,0.0635609012366593,0.0869565217391304,22,76,1
1119,Haarlemmermeer,1.5,1.22378496758497,0.667812142038946,0.224699828473413,0.227272727272727,22,434,1
1121,Landsmeer,2.3,0.931028331948327,0.812372634643377,0,0.282556463238827,29.5,1155,0
1127,Landsmeer,2.4,1.44875592479345,0.786542056074766,0,0.345029239766081,40.5,94,1
1131,Edam-Volendam,2.1,0.540247451229183,0.855791638108293,0,0.221412556053811,16.6,1769,1
1132,Edam-Volendam,2.7,0.969207827909042,0.784662624990158,0,0.308248914616497,40.5,1505,1
1135,Edam-Volendam,2.2,0.980243461791504,0.846250946730623,0,0.286784741144414,25,1294,1
1141,Waterland,2.2,0.968682413956077,0.834848395988505,0,0.276268580215274,24.6,1011,1
1145,Waterland,2.9,1.44325983072427,0.946802935010482,0,0.287878787878787,47,152,1
1151,Waterland,2.3,1.07646080268344,0.862464589235127,0,0.308664259927797,36.4,301,1
1153,Waterland,2.4,1.27881002574285,0.95363109444255,0,0.377049180327868,53.8,51,1
1154,Waterland,2.1,1.28257657167458,0.901502504173622,0,0.32,22,58,1
1156,Waterland,2,1.03968958113607,0.822142857142857,0.120474949319432,0.297687861271676,24.2,304,1
1161,Haarlemmermeer,2.3,1.15592562348518,0.715482729727213,0,0.269656019656019,22.3,1123,1
1165,Haarlemmermeer,2.1,0.889485886394074,0.921308886744451,0,0.302681992337164,25.9,882,0
1171,Haarlemmermeer,2.2,0.990215936016896,0.738090500258685,0,0.277701778385772,33.1,1743,1
1175,Haarlemmermeer,2.1,1.17908232109644,0.736305732484076,0,0.335164835164835,29.7,526,1
1181,Amstelveen,2.2,0.755177563645101,0.58292208763272,0.921009305225716,0.250751792736525,37.8,3330,1
1182,Amstelveen,2.2,1.22378496758497,0.666226332012329,0.0126657311298609,0.302056555269922,32.5,1580,1
1183,Amstelveen,1.7,0.509710629248068,0.793017628759073,0.459617776904685,0.188888888888888,19.2,2812,1
1184,Amstelveen,2.4,1.17612919312987,0.882941855987678,0,0.354838709677419,47,587,1
1185,Amstelveen,2,0.724547707508885,0.673634490729109,0.0694787684071852,0.239811912225705,21.4,2877,1
1186,Amstelveen,2,0.752292507848571,0.571231413053156,0.025368248772504,0.219385995170748,20,2458,1
1187,Amstelveen,2.4,1.22378496758497,0.808509722939253,0,0.298108108108108,37,1538,1
1188,Amstelveen,2.1,0.855081696624872,0.842998412892198,0,0.244702665755297,23.4,2076,0
1189,Amstelveen,2.3,1.22742175856929,0.797077922077922,0,0.313725490196078,26.8,106,1
1191,Ouder-Amstel,2.4,1.23935016672592,0.896223435455488,0,0.299549549549549,37.6,923,0
1211,Hilversum,1.7,0.569618158090707,0.452993022401762,0.0806541003163465,0.234604105571847,14.3,4042,1
1212,Hilversum,1.8,0.658704306957587,0.809572301425661,0,0.235531628532974,8.6,2174,1
1213,Hilversum,2.3,1.10514181157164,0.591509117350934,0.00416066911655704,0.292590246991766,48.2,2292,1
1214,Hilversum,2.1,0.831075667448048,0.720485662619478,0.321307340339911,0.270942408376963,21.2,3401,1
1215,Hilversum,2.2,0.947792757311172,0.494951167025326,0.0836832101587991,0.2880859375,31.6,3060,1
1216,Hilversum,2.1,0.905417848811175,0.695483444802245,0,0.244751381215469,17.4,1973,1
1217,Hilversum,2.1,1.33779634239051,0.545674340376327,0.147081487189366,0.293589743589743,41.1,2144,1
1218,Hilversum,2.3,1.22378496758497,0.936070853462157,0,0.247596153846153,21,817,1
1221,Hilversum,2,0.712899153946528,0.718944432525209,0.568575817087775,0.25,16.9,3999,1
1222,Hilversum,2,0.948932945720049,0.730048076923076,0.00156402538398047,0.274561403508771,16.8,2276,1
1223,Hilversum,2.2,0.856228275747856,0.729891304347826,0.0357408786299329,0.265807962529274,25.5,2788,1
1231,Wijdemeren,2.3,1.30599736102253,0.75218218442256,0,0.310861423220973,31.9,619,1
1241,Wijdemeren,2.2,1.18410436360353,0.828066991172345,0,0.301743745261561,27.4,886,0
