City,diesel_share
's-Gravenhage,0.0
's-Hertogenbosch,0.0
Aa en Hunze,0
Aalsmeer,0
Aalten,1.0
Achtkarspelen,1.0
Alblasserdam,0
Albrandswaard,0
Alkmaar,0.0
Almelo,1.0
Almere,0.0
Alphen aan den Rijn,0.0
Alphen-Chaam,0
Altena,0
Ameland,0
Amersfoort,0.0
Amstelveen,0
Amsterdam,0.0
Apeldoorn,0.6666666666666666
Arnhem,0.16666666666666666
Assen,0.0
Asten,0
Baarle-Nassau,0
Baarn,0.0
Barendrecht,0.0
Barneveld,0.0
Beek,0.0
Beekdaelen,0.0
Beesel,1.0
Berg en Dal,0
Bergeijk,0
Bergen (L.),0
Bergen (NH.),0
Bergen op Zoom,0.0
Berkelland,1.0
Bernheze,0
Best,0.0
Beuningen,0
Beverwijk,0.0
Bladel,0
Blaricum,0
Bloemendaal,0.0
Bodegraven-Reeuwijk,0.0
Boekel,0
Borger-Odoorn,0
Borne,1.0
Borsele,0
Boxtel,0.0
Breda,0.0
Bronckhorst,1.0
Brummen,0.5
Brunssum,0
Bunnik,0.0
Bunschoten,0
Buren,0
Capelle aan den IJssel,0.0
Castricum,0.0
Coevorden,0.0
Cranendonck,0.0
Culemborg,0.0
Dalfsen,0.0
Dantumadiel,1.0
De Bilt,0.0
De Fryske Marren,0
De Ronde Venen,0.0
De Wolden,0
Delft,0.0
Den Helder,0.0
Deurne,0.0
Deventer,0.0
Diemen,0.0
Dijk en Waard,0.0
Dinkelland,0
Doesburg,0
Doetinchem,0.8571428571428571
Dongen,0
Dordrecht,0.0
Drechterland,0.0
Drimmelen,0.0
Dronten,0.0
Druten,0
Duiven,0.5
Echt-Susteren,0.0
Edam-Volendam,0
Ede,0.0
Eemnes,0
Eemsdelta,1.0
Eersel,0
Eijsden-Margraten,0.0
Eindhoven,0.0
Elburg,0.0
Emmen,0.0
Enkhuizen,0.0
Enschede,1.0
Epe,0
Ermelo,0.0
Etten-Leur,0.0
Geertruidenberg,0
Geldrop-Mierlo,0.0
Gemert-Bakel,0
Gennep,0
Gilze en Rijen,0.0
Goeree-Overflakkee,0
Goes,0.0
Goirle,0
Gooise Meren,0.0
Gorinchem,0.0
Gouda,0.0
Groningen,1.0
Gulpen-Wittem,0
Haaksbergen,0
Haarlem,0.0
Haarlemmermeer,0.0
Halderberge,0.0
Hardenberg,0.3333333333333333
Harderwijk,0.0
Hardinxveld-Giessendam,0.0
Harlingen,1.0
Hattem,0
Heemskerk,0.0
Heemstede,0.0
Heerde,0
Heerenveen,0.0
Heerlen,0.0
Heeze-Leende,0.0
Heiloo,0.0
Hellendoorn,0.5
Helmond,0.0
Hendrik-Ido-Ambacht,0
Hengelo,0.3333333333333333
Het Hogeland,1.0
Heumen,0
Heusden,0
Hillegom,0.0
Hilvarenbeek,0
Hilversum,0.0
Hoeksche Waard,0
Hof van Twente,1.0
Hollands Kroon,0.0
Hoogeveen,0.0
Hoorn,0.0
Horst aan de Maas,1.0
Houten,0.0
Huizen,0
Hulst,0
IJsselstein,0
Kaag en Braassem,0
Kampen,0.0
Kapelle,0.0
Katwijk,0
Kerkrade,0.0
Koggenland,0.0
Krimpen aan den IJssel,0
Krimpenerwaard,0
Laarbeek,0
Land van Cuijk,1.0
Landgraaf,0.0
Landsmeer,0
